Item_Type,Item_ID,Purchase_ID,Sales_ID,Qty,Price,Cost,Supplier_ID,Warehouse_ID,Order_Date,Delivery_Date,Inventory_Valuation,Transfer_ID,Work_Order_ID,Purchase_Order_Qty,Sales_Order_Qty,Adjustment_Qty,Stock_Level,Stock_Check_Date,Customer_ID,Customer_Type,Shipping_ID,Region,Currency,Discount,Tax
Toys,9953,991903,741224,60,485.37,452.2,4859,444,2023-01-01 00:00:00,2023-02-01 00:00:00,11214.03,144675,174631,86,18,40,157,2023-03-01 00:00:00,65759,Retail,734045,Europe,GBP,0.05,13.85
Food,9381,974294,806063,80,881.92,789.55,4648,207,2023-01-01 01:00:00,2023-02-01 01:00:00,9603.51,614603,103763,59,64,-38,906,2023-03-01 01:00:00,74461,Wholesale,379584,Asia,GBP,41.11,2.46
Furniture,7854,423121,135215,82,973.93,110.72,2566,391,2023-01-01 02:00:00,2023-02-01 02:00:00,18821.02,724260,158086,40,48,4,263,2023-03-01 02:00:00,96242,Distributor,645136,Asia,JPY,15.69,4.48
Food,1755,974757,449708,49,12.81,891.72,2812,493,2023-01-01 03:00:00,2023-02-01 03:00:00,8238.47,496495,230049,27,64,-39,290,2023-03-01 03:00:00,37303,Wholesale,792738,North America,EUR,21.85,0.06
Food,5931,782495,852205,4,741.64,769.9,3353,474,2023-01-01 04:00:00,2023-02-01 04:00:00,5498.06,838487,714965,93,77,23,572,2023-03-01 04:00:00,37521,Retail,484035,Africa,EUR,35.16,14.71
Clothing,6724,622912,726901,66,618.93,296.53,3914,149,2023-01-01 05:00:00,2023-02-01 05:00:00,12886.5,501810,259607,33,67,-50,131,2023-03-01 05:00:00,94965,Wholesale,544537,North America,JPY,16.87,3.14
Furniture,5150,603869,602100,49,994.57,409.16,3987,311,2023-01-01 06:00:00,2023-02-01 06:00:00,20303.25,133806,855367,25,48,34,924,2023-03-01 06:00:00,59731,Retail,285107,North America,GBP,27.51,0.76
Furniture,5060,261334,222184,31,99.03,27.38,2932,168,2023-01-01 07:00:00,2023-02-01 07:00:00,29804.24,446418,563004,20,66,-44,382,2023-03-01 07:00:00,17983,Retail,167957,Asia,EUR,12.27,6.36
Furniture,5765,490566,619102,66,813.23,477.21,3578,197,2023-01-01 08:00:00,2023-02-01 08:00:00,36440.66,367416,465838,31,90,-41,584,2023-03-01 08:00:00,16404,Distributor,873921,Africa,EUR,28.47,0.65
Food,4612,613419,796438,54,934.59,495.21,3427,202,2023-01-01 09:00:00,2023-02-01 09:00:00,11917.76,669547,528057,60,90,30,365,2023-03-01 09:00:00,53474,Retail,583204,Asia,JPY,37.67,2.82
Toys,7553,321043,660552,2,912.99,834.29,4338,457,2023-01-01 10:00:00,2023-02-01 10:00:00,41114.53,780928,520271,45,28,-14,720,2023-03-01 10:00:00,12664,Distributor,688242,North America,GBP,30.18,5.02
Furniture,8378,134787,789844,61,564.97,352.19,1779,115,2023-01-01 11:00:00,2023-02-01 11:00:00,2649.87,996361,923907,89,25,-3,906,2023-03-01 11:00:00,13042,Wholesale,274267,Africa,EUR,39.02,6.53
Food,2689,859838,979427,15,334.28,515.7,4845,178,2023-01-01 12:00:00,2023-02-01 12:00:00,22758.25,180967,346952,76,94,14,160,2023-03-01 12:00:00,42671,Wholesale,524673,North America,JPY,38.43,5.82
